source,year,heroic_total,nuisance_total,culinary_total,sport_total,hunting_total,mean_net_tone,n_articles,heroic_rate,nuisance_rate,culinary_rate,sport_rate,hunting_rate,signed_tone_rate,total_loaded,positivity_ratio
NYT,1923,16.125,2.1875,0.0,9.0625,4.0,0.008849557522123894,113,0.1426991150442478,0.019358407079646017,0.0,0.08019911504424779,0.035398230088495575,0.12334070796460177,18.3125,0.8805460750853242
NYT,1924,13.125,0.0,0.0,19.125,7.625,0.041666666666666664,144,0.09114583333333333,0.0,0.0,0.1328125,0.05295138888888889,0.09114583333333333,13.125,1.0
NYT,1925,14.625,7.6875,0.1875,11.5,8.75,0.017142857142857144,175,0.08357142857142857,0.04392857142857143,0.0010714285714285715,0.06571428571428571,0.05,0.039642857142857146,22.3125,0.6554621848739496
NYT,1926,34.9375,0.0,0.0,17.4375,3.875,0.08247422680412371,194,0.180090206185567,0.0,0.0,0.0898840206185567,0.01997422680412371,0.180090206185567,34.9375,1.0
NYT,1927,38.6875,1.125,3.3125,16.875,6.4375,0.05235602094240838,191,0.2025523560209424,0.0058900523560209425,0.017342931937172776,0.08835078534031414,0.03370418848167539,0.19666230366492146,39.8125,0.9717425431711146
NYT,1928,37.875,0.5625,0.875,16.75,11.25,0.06435643564356436,202,0.1875,0.0027846534653465345,0.004331683168316832,0.08292079207920793,0.055693069306930694,0.18471534653465346,38.4375,0.9853658536585366
NYT,1929,82.0,0.0,1.6875,36.0,3.8125,0.10126582278481013,237,0.3459915611814346,0.0,0.007120253164556962,0.1518987341772152,0.01608649789029536,0.3459915611814346,82.0,1.0
NYT,1930,48.5625,0.9375,1.4375,26.375,22.875,0.0657439446366782,289,0.1680363321799308,0.0032439446366782005,0.004974048442906574,0.09126297577854671,0.0791522491349481,0.1647923875432526,49.5,0.9810606060606061
NYT,1931,85.875,6.875,4.375,35.875,5.75,0.05555555555555555,396,0.2168560606060606,0.017361111111111112,0.011047979797979798,0.09059343434343434,0.01452020202020202,0.1994949494949495,92.75,0.9258760107816711
NYT,1932,32.1875,1.125,1.5,8.1875,1.5,0.04411764705882353,204,0.15778186274509803,0.0055147058823529415,0.007352941176470588,0.04013480392156863,0.007352941176470588,0.15226715686274508,33.3125,0.9662288930581614
